zip_code,city,zillow_county,pop_total,qol_score,qol_rank,score_economic_security,score_housing_affordability,score_education,score_health_environment,score_flood_climate_risk,score_mobility
08550,Princeton Junction,Mercer County,20876,100.0,1,89.15274027339898,88.51080008990212,93.53090405904058,100.0,76.5723644070518,52.0156414791297
07078,Short Hills,Essex County,14183,99.7003697240777,2,92.53509725212164,78.78005686506249,100.0,98.44698948748203,96.24318989340703,59.83043439832315
07423,Ho Ho Kus,Bergen County,4230,98.25995935027028,3,100.0,89.35082030231979,89.57564575645756,94.13613909588356,30.606251622232925,52.48309193903979
07046,Mountain Lakes,Morris County,4535,97.73632719062252,4,98.3880407662095,73.15404889115659,93.45018450184502,97.72022372479904,99.99999999999999,47.79387678497658
07945,Mendham,Morris County,9771,97.67931922419892,5,96.31642350039829,83.36516934371765,85.96632841328413,94.57665453931699,86.9456755730024,36.847239991440006
07021,Essex Fells,Essex County,2320,97.53708467547975,6,95.33502185938677,77.03696685722697,90.08302583025828,95.76080279868896,99.99999999999999,56.95288258144706
07739,Little Silver,Monmouth County,6096,96.47713699924742,7,91.13163559831698,94.81528075538634,88.12269372693727,90.10329788792372,44.0200933049599,47.108563509213056
08502,Belle Mead,Somerset County,12081,95.33150746728505,8,88.35747684683348,87.93379129588,84.83625461254611,93.9023779691832,79.34688971251127,39.274563703288386
07090,Westfield,Union County,30760,94.12006805651772,9,89.59131224666487,81.41359618993555,84.55950184501845,91.11906936082255,95.0720855083271,56.77581144248412
07704,Fair Haven,Monmouth County,6182,93.67141806123962,10,94.28056251821268,76.65674876613593,89.5871771217712,89.02273471026939,97.22322731251823,43.86514296150348
08535,Millstone Township,Monmouth County,4971,93.24528541180919,11,92.32848744966972,93.5117156916782,61.888837638376366,82.43601217935677,99.99999999999999,26.24399785371746
07928,Chatham,Morris County,19667,92.97793503011583,12,88.21308455633624,75.51811735840444,92.25092250922509,96.01571490222288,89.94705443698733,55.82052411249626
07649,Oradell,Bergen County,8197,92.97191579010817,13,88.55817471947313,83.2421531547741,79.07057195571954,91.3091650117958,87.76517781377767,58.87208845245352
