zip_code,county,gentrification_score,gent_tier,price_change_pct,current_home_value,baseline_home_value,price_to_income_ratio,pct_bachelors_plus,poverty_rate,homeownership_rate,rent_burden_severe_pct,income_median_hh
07711,Monmouth County,82.9,High,227.96182992792518,2353569.6363207363,717635.2311602758,18.672899797851006,59.51,3.2,75.54,15.32,126042.0
07041,Essex County,80.8,High,207.47302984031884,1205070.690195555,391927.2824746252,7.509679066957201,75.72,2.89,68.98,20.46,160469.0
07040,Essex County,79.4,High,232.54509842286123,908389.8018784,273162.89014228684,8.135684043512606,60.81,3.73,78.55,31.75,111655.0
08730,Monmouth County,79.2,High,204.9951494432434,1782409.7835067676,584405.9444094393,17.030640303335286,58.46,4.32,90.39,44.15,104659.0
07042,Essex County,78.7,High,225.9894098659268,896043.7600670186,274868.978239368,11.031625239360032,61.11,8.13,45.25,20.96,81225.0
07762,Monmouth County,78.0,High,111.92114992768411,1339460.1795067878,632055.9226692874,17.091709470668093,60.92,5.31,59.75,27.73,78369.0
08006,Ocean County,77.8,High,101.72585321961833,1574382.3454344776,780456.4067058138,16.756235184172475,73.22,2.35,93.53,61.54,93958.0
08738,Ocean County,76.4,High,108.39941061084745,4262706.1053515645,2045450.173230809,22.361736946106568,68.17,1.57,88.24,0.0,190625.0
07021,Essex County,76.1,High,161.74457161225342,1401968.0830267295,535624.5114812143,8.174312036258911,72.09,2.03,91.28,19.35,171509.0
07079,Essex County,75.9,High,222.0610999683263,1033661.8683632975,320952.1014692414,8.527648588544938,67.53,8.35,68.67,24.92,121213.0
08247,Cape May County,75.7,High,128.27811036183067,4594892.496265708,2012848.4894949428,34.30842085183723,69.74,4.59,85.77,10.81,133929.0
07078,Essex County,75.5,High,150.1192306476783,2250487.171350862,899765.749927854,9.579313041011279,87.23,2.38,94.06,5.13,234932.0
07750,Monmouth County,75.1,High,111.91567137533687,1085514.973353868,512239.1214905695,9.834344748630802,66.22,4.14,85.54,46.08,110380.0
07039,Essex County,74.8,Moderate,145.63178156720355,1041952.9854777867,424193.0660722395,7.568757385521278,67.95,2.57,91.98,40.37,137665.0
07090,Union County,73.8,Moderate,163.10735258295523,1227833.668405589,466666.4220333655,6.633604017470077,76.32,2.02,80.12,13.56,185093.0
07069,Somerset County,73.4,Moderate,123.78767248916947,1036846.9264623832,463317.2662862218,7.993084432865009,60.53,2.94,83.58,30.56,129718.0
08720,Monmouth County,73.3,Moderate,88.45136258708129,1187527.1604213945,630150.4770880345,8.997576660792637,65.09,0.0,84.44,76.19,131983.0
07082,Morris County,73.2,Moderate,113.83166139384777,828964.5607175917,387671.57085814147,9.103198452912727,65.11,2.56,95.55,29.55,91063.0
07068,Essex County,72.9,Moderate,132.49839823954036,807842.1972061849,347461.40331421746,7.33015930972511,62.61,3.74,82.86,45.17,110208.0
07070,Bergen County,72.9,Moderate,165.02036375272868,718748.2349655387,271204.9084787125,8.594074527585269,47.47,5.4,65.64,25.5,83633.0
07720,Monmouth County,72.9,Moderate,121.6055639925414,1052779.9684505176,475069.28503200895,16.386700626506205,55.29,10.95,47.58,32.0,64246.0
08750,Monmouth County,72.4,Moderate,95.27445209419504,4402595.053025528,2254567.868868907,41.88400263547699,59.02,1.77,88.68,15.43,105114.0
08248,Cape May County,72.1,Moderate,108.80904562511395,2347030.8038834142,1124008.2041738576,22.077857562375144,46.61,0.0,84.62,0.0,106307.0
07044,Essex County,71.9,Moderate,184.8962387618049,736053.7669725268,258358.54140142727,6.112997200954478,64.31,3.07,80.37,30.43,120408.0
