geoid,NAME,geo_type,state_fips,place_fips,zcta,acs_year,pop_total,age_median,race_white,race_black,race_asian,race_hispanic,households,avg_household_size,income_median_hh,income_per_capita,poverty_count,poverty_universe,gini_index,housing_units_total,housing_occupied,housing_vacant,housing_owner_occ,housing_renter_occ,home_value_median,gross_rent_median,rent_burden_30_34pct,rent_burden_35_39pct,rent_burden_40_49pct,rent_burden_50plus_pct,rent_burden_universe,gross_rent_pct_income,edu_total_25plus,edu_hs_grad,edu_some_college,edu_associates,edu_bachelors,edu_masters,edu_professional,edu_doctorate,labor_force,employed,unemployed,labor_force_universe,commute_total,commute_car_alone,commute_carpool,commute_transit,commute_wfh,travel_time_aggregate,travel_time_universe,poverty_rate,unemployment_rate_acs,pct_bachelors_plus,homeownership_rate,vacancy_rate,rent_burden_30plus_pct,rent_burden_severe_pct,avg_commute_minutes,pct_transit_commute,pct_wfh,diversity_index
08110,ZCTA5 08110,zcta,,,08110,2023,18955,36.5,3601,6560,1304,8746,6290,3.01,81307.0,30868.0,3053,18808,0.4409,6738,6290,448,4601,1689,194400.0,1192.0,78,115,172,369,1689,33.1,12297,3344,917,1120,1929,419,87,29,9967,9165,770,14711,8966,6019,1805,200,647,224980.0,8319,16.23,7.73,20.04,73.15,6.65,43.46,21.85,27.0,2.23,7.22,0.6265
08201,ZCTA5 08201,zcta,,,08201,2023,10067,36.4,6752,1081,615,1533,4086,2.43,72120.0,39366.0,1029,9943,0.4452,4286,4086,200,2611,1475,237100.0,1818.0,157,103,248,533,1475,43.0,7256,2107,598,737,1823,376,90,51,5535,5071,325,8103,5127,4095,353,158,466,95165.0,4661,10.35,5.87,32.25,63.9,4.67,70.58,36.14,20.4,3.08,9.09,0.5117
08202,ZCTA5 08202,zcta,,,08202,2023,1636,63.8,1545,2,24,43,844,1.93,142500.0,113235.0,68,1635,0.5247,5668,844,4824,802,42,1566700.0,1615.0,6,0,0,9,42,31.7,1392,158,81,96,590,230,91,40,653,639,14,1513,636,356,25,4,185,12435.0,451,4.16,2.14,68.32,95.02,85.11,35.71,21.43,27.6,0.63,29.09,0.1072
08203,ZCTA5 08203,zcta,,,08203,2023,7702,59.2,6647,85,495,467,3954,1.95,88906.0,68730.0,724,7702,0.5172,9340,3954,5386,2958,996,485000.0,1499.0,107,31,49,380,996,34.7,6592,1296,374,350,1810,805,256,132,4169,3877,233,7019,3863,2708,208,123,744,77730.0,3119,9.4,5.59,45.56,74.81,57.67,56.93,38.15,24.9,3.18,19.26,0.2473
08204,ZCTA5 08204,zcta,,,08204,2023,16890,52.2,15319,372,127,878,8090,2.04,80782.0,50914.0,1305,16571,0.4682,13101,8090,5011,6381,1709,399200.0,1149.0,158,143,100,307,1709,28.3,12882,3322,1105,982,3410,1066,308,160,8688,7788,476,14338,8069,5894,935,28,691,126745.0,7378,7.88,5.48,38.38,78.88,38.25,41.43,17.96,17.2,0.35,8.56,0.1741
08205,ZCTA5 08205,zcta,,,08205,2023,28236,43.3,18627,2086,2489,3873,11172,2.49,88636.0,44145.0,2026,27815,0.4132,11660,11172,488,8923,2249,263300.0,1527.0,173,279,76,638,2249,34.2,20602,5444,1038,1839,4667,2079,397,248,15504,14565,916,23448,14391,11410,1638,65,1016,325650.0,13375,7.28,5.91,35.88,79.87,4.19,51.85,28.37,24.3,0.45,7.06,0.5328
08210,ZCTA5 08210,zcta,,,08210,2023,17278,43.5,14365,1297,261,1299,7406,2.25,93855.0,49155.0,1599,16682,0.4265,8374,7406,968,6007,1399,337700.0,1538.0,30,21,115,601,1399,45.8,12581,3622,1001,1004,2783,861,301,195,8776,8178,574,14230,8110,6490,642,114,637,163670.0,7473,9.59,6.54,32.91,81.11,11.56,54.82,42.96,21.9,1.41,7.85,0.2973
08212,ZCTA5 08212,zcta,,,08212,2023,155,70.9,119,27,6,0,84,1.4,88333.0,150725.0,19,155,0.5946,655,84,571,84,0,987200.0,,0,0,0,0,0,,155,13,6,27,38,48,6,2,62,62,0,155,62,29,5,0,7,955.0,55,12.26,0.0,60.65,100.0,87.18,,,17.4,0.0,11.29,0.3787
08215,ZCTA5 08215,zcta,,,08215,2023,13921,45.1,9732,2790,88,1612,5436,2.54,84630.0,40127.0,821,13875,0.3941,5813,5436,377,4074,1362,266500.0,1525.0,40,23,67,351,1362,25.7,10171,3780,826,790,1483,708,87,77,6924,6483,431,11589,6327,5106,387,166,464,160275.0,5863,5.92,6.22,23.15,74.94,6.49,35.32,25.77,27.3,2.62,7.33,0.4577
08217,ZCTA5 08217,zcta,,,08217,2023,38,,38,0,0,0,21,1.81,,,17,38,,21,21,0,21,0,,,0,0,0,0,0,,38,0,0,0,0,0,0,0,21,21,0,38,21,0,0,0,0,,21,44.74,0.0,0.0,100.0,0.0,,,,0.0,0.0,0.0
08221,ZCTA5 08221,zcta,,,08221,2023,6954,45.8,5828,137,330,436,2612,2.62,135904.0,70653.0,196,6848,0.463,2859,2612,247,2352,260,351100.0,2070.0,0,12,11,56,260,27.2,4871,756,199,397,1636,757,393,68,3657,3363,262,5546,3319,2457,307,28,490,68220.0,2829,2.86,7.16,58.59,90.05,8.64,30.38,21.54,24.1,0.84,14.76,0.2911
08223,ZCTA5 08223,zcta,,,08223,2023,4063,46.2,3602,37,46,183,1846,2.2,100000.0,50244.0,115,4063,0.3923,2352,1846,506,1687,159,353400.0,1642.0,41,8,31,17,159,32.1,3092,631,128,426,831,570,94,44,2068,2022,46,3245,1965,1713,61,0,159,41740.0,1806,2.83,2.22,49.77,91.39,21.51,61.01,10.69,23.1,0.0,8.09,0.2118
08224,ZCTA5 08224,zcta,,,08224,2023,158,35.8,150,0,0,0,53,2.98,99583.0,40649.0,0,158,0.3013,69,53,16,53,0,287500.0,,0,0,0,0,0,,107,39,0,4,28,9,8,0,93,89,4,121,89,79,5,0,0,2145.0,89,0.0,4.3,42.06,100.0,23.19,,,24.1,0.0,0.0,0.0987
08225,ZCTA5 08225,zcta,,,08225,2023,8427,44.7,6570,254,780,948,3299,2.51,104042.0,56184.0,364,8267,0.4671,3447,3299,148,2897,402,275900.0,1554.0,0,16,18,148,402,39.1,6181,1227,308,683,1745,801,241,53,4703,4549,131,7143,4478,3638,170,56,327,91615.0,4151,4.4,2.79,45.95,87.81,4.29,45.27,36.82,22.1,1.25,7.3,0.37
08226,ZCTA5 08226,zcta,,,08226,2023,11260,57.3,9748,251,35,1051,5619,1.99,101782.0,70660.0,887,11179,0.4791,20905,5619,15286,4070,1549,719100.0,1670.0,60,126,69,563,1549,37.5,8918,1780,302,610,2736,1488,519,136,5436,5270,166,9917,5212,3178,386,11,829,117990.0,4383,7.93,3.05,54.71,72.43,73.12,52.81,36.35,26.9,0.21,15.91,0.2413
08230,ZCTA5 08230,zcta,,,08230,2023,5998,45.2,5749,13,40,68,2274,2.59,110667.0,51419.0,126,5885,0.3693,2669,2274,395,2173,101,406900.0,1757.0,0,0,0,12,101,17.3,4148,1176,201,321,1122,465,216,26,2920,2810,55,4744,2805,2311,202,0,292,59245.0,2513,2.14,1.88,44.09,95.56,14.8,11.88,11.88,23.6,0.0,10.41,0.0811
08232,ZCTA5 08232,zcta,,,08232,2023,20200,35.6,2814,7028,537,10572,6466,3.08,52476.0,26875.0,4609,20007,0.4868,7136,6466,670,3233,3233,179900.0,1210.0,251,87,357,976,3233,32.7,13480,4482,1204,565,1080,184,81,108,10005,9111,894,15978,8984,6044,1440,650,378,178310.0,8606,23.04,8.94,10.78,50.0,9.39,51.69,30.19,20.7,7.24,4.21,0.5849
08234,ZCTA5 08234,zcta,,,08234,2023,46856,41.1,27600,4473,5966,7641,16931,2.76,96604.0,42166.0,4685,46701,0.4097,17728,16931,797,14197,2734,285700.0,1466.0,105,201,252,627,2734,29.0,32363,9481,2533,1926,8020,2416,659,182,25236,23175,1980,37062,22490,17728,1950,146,2287,510650.0,20203,10.03,7.85,34.85,83.85,4.5,43.34,22.93,25.3,0.65,10.17,0.6011
08240,ZCTA5 08240,zcta,,,08240,2023,2812,20.4,1804,377,299,282,3,1.67,,6554.0,0,16,,3,3,0,3,0,,,0,0,0,0,0,,114,16,5,15,62,4,3,0,1432,1240,181,2812,906,426,21,111,107,14585.0,799,0.0,12.64,60.53,100.0,0.0,,,18.3,12.25,11.81,0.5491
08241,ZCTA5 08241,zcta,,,08241,2023,1047,48.5,989,1,8,23,457,2.27,130417.0,71245.0,18,1041,0.4485,477,457,20,434,23,412500.0,2104.0,14,0,0,0,23,31.6,792,185,27,171,170,74,12,16,572,522,45,851,524,438,48,0,38,13545.0,486,1.73,7.87,34.34,94.97,4.19,60.87,0.0,27.9,0.0,7.25,0.1072
