block_group_id,place,state,state_abbr,county,ua_name,ua_pop,congressio,cbg_pop,acs_pop,land_area,biome,cnpysource,tc_goal,treecanopy,tc_gap,priority_i,pctpoc,pctpocnorm,pctpov,pctpovnorm,unemplrate,unemplnorm,dep_ratio,dep_perc,depratnorm,linguistic,lingnorm,health_nor,temp_diff,temp_norm,tree_equity_score,tesctyscor,holc_grade,child_perc,seniorperc,ej_disadva,rank,rankgrpsz,_bld1200,_veg1200,_tot1200,_bld1500,_veg1500,_tot1500,_bld1800,_veg1800,_tot1800
340010001001,Atlantic City,New Jersey,NJ,Atlantic County,"Atlantic City--Ocean City--Villas, NJ",294900,NJ Congressional District 2,1094,811.0,0.7549,Forest,Google,0.5,0.0208,0.4792,0.616612013971506,0.896424167694205,0.896424167694205,0.674475955610358,0.719963868895707,0.194508009153318,0.506625512213294,0.432862190812721,0.30209617755857,0.13921565065206,0.171645569620253,0.583842928243916,0.506648643493966,9.37,0.665372670807453,40,57.0,C,0.224414303329223,0.077681874229346,Yes,32.0,37,,,,,,,,,
340010001002,Atlantic City,New Jersey,NJ,Atlantic County,"Atlantic City--Ocean City--Villas, NJ",294900,NJ Congressional District 2,1240,1303.0,0.7383,Forest,Google,0.5,0.0191,0.4809,0.601719719297483,0.73983115886416,0.73983115886416,0.686108979278588,0.732381445322958,0.287250384024578,0.748187046761691,0.705497382198953,0.413660782808903,0.288966428440042,0.171645569620253,0.583842928243916,0.506648643493966,0.02,0.302406832298137,42,57.0,C,0.267843438219493,0.145817344589409,Yes,30.0,37,,,,,,,,,
340010002001,Atlantic City,New Jersey,NJ,Atlantic County,"Atlantic City--Ocean City--Villas, NJ",294900,NJ Congressional District 2,1171,1901.0,0.2145,Forest,Google,0.4,0.0236,0.3764,0.610882498340714,0.817990531299316,0.817990531299316,0.461862177801157,0.493011022350538,0.090570719602978,0.235905130128686,1.133557800224467,0.531299316149395,0.524087874844801,0.293992718446602,1.0,0.294616729368271,7.89,0.607919254658385,53,57.0,B,0.353498158863756,0.177801157285639,Yes,25.0,37,,,,,,,,,
340010002002,Atlantic City,New Jersey,NJ,Atlantic County,"Atlantic City--Ocean City--Villas, NJ",294900,NJ Congressional District 2,986,560.0,0.1444,Forest,Google,0.3,0.0515,0.2485,0.495380164457239,0.603571428571429,0.603571428571429,0.275,0.293546511627907,0.058479532163743,0.152318781449748,0.473684210526316,0.321428571428571,0.161638028232535,0.293992718446602,1.0,0.294616729368271,6.9,0.569487577639752,75,57.0,B,0.15,0.171428571428571,Yes,3.0,37,,,,,,,,,
340010002003,Atlantic City,New Jersey,NJ,Atlantic County,"Atlantic City--Ocean City--Villas, NJ",294900,NJ Congressional District 2,740,953.0,0.1622,Forest,Google,0.3,0.0807,0.2193,0.487095654478194,0.40713536201469,0.40713536201469,0.381951731374606,0.407711266746382,0.022364217252396,0.058250984471357,0.781308411214953,0.438614900314795,0.330607276425694,0.293992718446602,1.0,0.294616729368271,5.43,0.512422360248447,78,57.0,B,0.166841552990556,0.271773347324239,Yes,1.0,37,,,,,,,,,
340010003001,Atlantic City,New Jersey,NJ,Atlantic County,"Atlantic City--Ocean City--Villas, NJ",294900,NJ Congressional District 2,1497,1151.0,0.136,Forest,Google,0.4,0.0703,0.3297,0.5787860903028,0.932232841007819,0.932232841007819,0.533449174630756,0.569425979431435,0.113899613899614,0.296668761785041,0.612044817927171,0.379669852302346,0.237635585510982,0.236791147994467,0.805432016294907,0.299810294032308,7.24,0.582686335403727,61,57.0,C,0.269331016507385,0.110338835794961,Yes,17.0,37,,,,,,,,,
340010003002,Atlantic City,New Jersey,NJ,Atlantic County,"Atlantic City--Ocean City--Villas, NJ",294900,NJ Congressional District 2,1535,1866.0,0.1129,Forest,Google,0.3,0.0671,0.2329,0.620949584681493,0.956591639871383,0.956591639871383,0.655412647374062,0.699614895685336,0.124550898203593,0.324411641832614,0.757062146892655,0.430868167202572,0.317289491138125,0.236791147994467,0.805432016294907,0.299810294032308,8.94,0.648680124223603,71,57.0,C,0.409967845659164,0.020900321543408,Yes,4.0,37,,,,,,,,,
340010003003,Atlantic City,New Jersey,NJ,Atlantic County,"Atlantic City--Ocean City--Villas, NJ",294900,NJ Congressional District 2,995,958.0,0.1063,Forest,Google,0.4,0.0368,0.3632,0.506353291501174,0.717118997912317,0.717118997912317,0.413361169102296,0.441239015390591,0.129133858267717,0.336348654092657,0.228205128205128,0.18580375782881,0.026803330916441,0.236791147994467,0.805432016294907,0.299810294032308,5.98,0.533773291925466,63,57.0,B,0.05741127348643,0.12839248434238,Yes,15.0,37,,,,,,,,,
340010004001,Atlantic City,New Jersey,NJ,Atlantic County,"Atlantic City--Ocean City--Villas, NJ",294900,NJ Congressional District 2,1275,1183.0,0.2953,Forest,Google,0.4,0.038,0.362,0.566988699094863,0.595097210481826,0.595097210481826,0.652578191039729,0.696589278342409,0.203761755485893,0.530728293358606,0.645340751043115,0.392223161453931,0.255924097188206,0.15921963499056,0.541576797656229,0.448165854235048,6.76,0.564052795031056,58,57.0,,0.106508875739645,0.285714285714286,Yes,21.0,37,,,,,,,,,
340010004002,Atlantic City,New Jersey,NJ,Atlantic County,"Atlantic City--Ocean City--Villas, NJ",294900,NJ Congressional District 2,858,729.0,0.1319,Forest,Google,0.4,0.0257,0.3743,0.535100577505015,0.739368998628258,0.739368998628258,0.698216735253772,0.745305770887166,0.034739454094293,0.090484159501414,0.595185995623632,0.373113854595336,0.228375512591901,0.15921963499056,0.541576797656229,0.448165854235048,7.45,0.59083850931677,59,57.0,B,0.216735253772291,0.156378600823045,Yes,20.0,37,,,,,,,,,
